,total_reads,counts,deltatime,density
1696,378330.0,400,2443200.0,0.00016371971185330714
1872,664551.0,399,4666140.0,8.550965037482802e-05
1896,1095068.0,400,1712940.0,0.0002335166438987939
1965,860879.0,399,6832440.0,5.83978783567803e-05
1979,1817545.0,400,2545200.0,0.00015715857300015716
2001,445301.0,400,1064580.0,0.00037573503165567643
2002,286101.0,400,768000.0,0.0005208333333333333
2003,994290.0,400,8035680.0,4.9777990163869145e-05
2004,602315.0,399,4438140.0,8.990252673417243e-05
2005,305461.0,399,562920.0,0.0007088040929439352
2006,875463.0,398,5910000.0,6.734348561759729e-05
2007,360460.0,400,1069380.0,0.0003740485140922778
2008,619621.0,400,1165200.0,0.00034328870580157915
2009,636572.0,397,3757920.0,0.00010564354749435858
2010,356559.0,400,1852260.0,0.00021595240409013854
2011,421369.0,398,1411740.0,0.0002819216002946718
2012,297385.0,400,625860.0,0.0006391205700955485
2013,600736.0,397,2025420.0,0.00019600872905372712
2014,515180.0,400,3480720.0,0.00011491875244202348
2015,650277.0,400,4328700.0,9.240649617668123e-05
2016,450046.0,400,2605620.0,0.00015351432672454157
2017,198564.0,400,136980.0,0.0029201343261790044
2019,576377.0,400,813240.0,0.0004918597216073976
2020,394794.0,400,1169280.0,0.00034209085933223864
2021,671680.0,399,1085220.0,0.0003676673854149389
2022,428440.0,400,1474440.0,0.00027128943870215135
2023,340460.0,399,1068060.0,0.00037357451828548956
2024,361224.0,397,197280.0,0.002012368207623682
2025,465882.0,400,2275080.0,0.00017581799321342547
2026,557227.0,400,3330180.0,0.00012011362749160706
2027,456157.0,400,876780.0,0.0004562147859212117
2028,463203.0,400,1659780.0,0.0002409957946233838
2029,313893.0,398,1230720.0,0.0003233879355174207
2030,433666.0,400,2525820.0,0.00015836441234925688
2031,558185.0,400,3133500.0,0.0001276527844263603
2032,1515483.0,400,2588460.0,0.00015453203835485193
2033,910564.0,400,5885400.0,6.796479423658545e-05
2034,672988.0,397,4941660.0,8.033737650910827e-05
2035,313219.0,399,1402980.0,0.000284394645682761
2036,470023.0,400,548580.0,0.0007291552736155164
2037,464081.0,400,3667980.0,0.00010905184870146511
2038,560473.0,400,1335000.0,0.000299625468164794
2039,1021970.0,400,9623040.0,4.1566906092045756e-05
2040,490016.0,400,3844500.0,0.00010404473923787229
2041,247081.0,396,1085040.0,0.000364963503649635
2042,677244.0,400,8549340.0,4.67872373773882e-05
2043,297030.0,399,695760.0,0.0005734736115902035
2044,483921.0,400,1167660.0,0.0003425654728259939
2045,241839.0,401,40920.0,0.00979960899315738
2046,707187.0,400,6067320.0,6.592696610694673e-05
2047,388377.0,398,1729380.0,0.0002301402814881634
2048,350398.0,400,1757940.0,0.00022753905138969476
2049,360072.0,400,223260.0,0.0017916330735465377
2050,390951.0,400,1445400.0,0.0002767400027674
2051,395827.0,400,2271600.0,0.00017608733932030288
2052,374945.0,400,1231200.0,0.0003248862897985705
2053,686993.0,400,5687160.0,7.03338749041701e-05
2054,366086.0,399,1783200.0,0.00022375504710632572
2055,484809.0,400,3224640.0,0.0001240448546194304
2056,284292.0,400,1085700.0,0.00036842590034079397
2057,222414.0,400,481320.0,0.0008310479514667997
2058,968367.0,400,13399080.0,2.9852795863596605e-05
2059,788032.0,400,6489840.0,6.163480147430444e-05
2060,534337.0,399,3635580.0,0.00010974865083425478
2061,357710.0,397,1250880.0,0.0003173765668969046
2062,1142108.0,400,11562420.0,3.459483395344573e-05
2063,293337.0,399,174480.0,0.0022867950481430537
2064,469484.0,400,2687640.0,0.00014882945632599604
2065,290521.0,400,188940.0,0.002117074203450831
2066,892248.0,400,8651280.0,4.623593271747071e-05
2067,509293.0,399,3295320.0,0.00012108080550599032
2068,440267.0,400,2596740.0,0.00015403929542426274
2069,1180737.0,400,1031820.0,0.0003876645151286077
2071,379689.0,400,808680.0,0.0004946332294603552
2072,584011.0,397,2785500.0,0.00014252378388081134
2073,420827.0,400,995280.0,0.00040189695362109155
2074,385250.0,398,718140.0,0.0005542094856156181
2075,369155.0,400,730080.0,0.0005478851632697787
2076,466887.0,400,3112680.0,0.00012850662451649382
2077,275218.0,400,551700.0,0.0007250317201377561
2078,441836.0,400,1247100.0,0.00032074412637318576
2079,389422.0,400,702180.0,0.0005696545045429947
2080,383823.0,400,2274000.0,0.00017590149516270889
2081,320208.0,400,808200.0,0.0004949269982677555
2082,499113.0,400,2956800.0,0.00013528138528138528
2083,583025.0,400,4314840.0,9.27033215600115e-05
2084,363280.0,397,1682760.0,0.00023592193776890346
2085,558121.0,400,4426320.0,9.036852283612573e-05
2086,563993.0,400,462360.0,0.0008651267410675664
2087,430623.0,400,1225200.0,0.000326477309826967
2088,895069.0,400,8398440.0,4.762789279913889e-05
2089,509335.0,400,822060.0,0.0004865824878962606
2090,490206.0,400,3195300.0,0.0001251838637999562
2091,370896.0,400,133980.0,0.002985520226899537
2092,499069.0,400,1421640.0,0.00028136518387214765
2093,481736.0,400,1843080.0,0.00021702801831716476
